Vendedor	Produto	Estado	Mês	Cliente	Valor	Quantidade
KATIA	Rodas aro 15"	PE	Março	Pessoa Física	1020	4
VANESSA	Rodas aro 16"	CE	Junho	Pessoa Física	1340	2
RENATA	Rodas aro 17"	GO	Outubro	Pessoa Física	1870	1
CAIO	Rodas aro 18"	MA	Setembro	Pessoa Jurídica	1910	1
PRISCILA	Rodas aro 19"	CE	Março	Pessoa Jurídica	2240	1
MIRIAN	Rodas aro 20"	AM	Maio	Pessoa Jurídica	2479	1
MURILO	Rodas aro 21"	PA	Julho	Pessoa Física	3200	110
ROBERTO	Rodas aro 22"	AC	Outubro	Pessoa Jurídica	3921	110
MYSLAINE	Rodas aro 13"	SC	Outubro	Pessoa Física	780	110
KATIA	Rodas aro 14"	RR	Novembro	Pessoa Física	980	109
VANESSA	Rodas aro 15"	PB	Novembro	Pessoa Física	1020	108
RENATA	Rodas aro 16"	AM	Março	Pessoa Jurídica	1340	106
CAIO	Rodas aro 17"	AP	Novembro	Pessoa Jurídica	1870	106
PRISCILA	Rodas aro 18"	MT	Dezembro	Pessoa Jurídica	1910	105
MIRIAN	Rodas aro 19"	AL	Junho	Pessoa Física	2240	105
MURILO	Rodas aro 20"	BA	Abril	Pessoa Jurídica	2479	103
ROBERTO	Rodas aro 21"	RO	Julho	Pessoa Física	3200	103
MYSLAINE	Rodas aro 22"	MS	Outubro	Pessoa Física	3921	102
KATIA	Rodas aro 13"	BA	Julho	Pessoa Física	780	101
VANESSA	Rodas aro 14"	SC	Maio	Pessoa Jurídica	980	100
RENATA	Rodas aro 15"	SE	Setembro	Pessoa Jurídica	1020	99
CAIO	Rodas aro 16"	RO	Abril	Pessoa Jurídica	1340	96
PRISCILA	Rodas aro 17"	BA	Junho	Pessoa Física	1870	95
MIRIAN	Rodas aro 18"	PE	Outubro	Pessoa Jurídica	1910	94
MURILO	Rodas aro 19"	PI	Dezembro	Pessoa Física	2240	92
ROBERTO	Rodas aro 20"	PA	Março	Pessoa Física	2479	92
MYSLAINE	Rodas aro 21"	BA	Janeiro	Pessoa Física	3200	91
KATIA	Rodas aro 22"	RR	Março	Pessoa Jurídica	3921	90
VANESSA	Rodas aro 13"	BA	Novembro	Pessoa Jurídica	780	90
RENATA	Rodas aro 14"	PI	Maio	Pessoa Jurídica	980	86
CAIO	Rodas aro 15"	SE	Janeiro	Pessoa Física	1020	86
PRISCILA	Rodas aro 16"	ES	Setembro	Pessoa Jurídica	1340	86
MIRIAN	Rodas aro 17"	MT	Novembro	Pessoa Física	1870	86
MURILO	Rodas aro 18"	AP	Julho	Pessoa Física	1910	84
ROBERTO	Rodas aro 19"	DF	Fevereiro	Pessoa Física	2240	84
MYSLAINE	Rodas aro 20"	ES	Outubro	Pessoa Jurídica	2479	84
KATIA	Rodas aro 21"	MA	Abril	Pessoa Jurídica	3200	84
VANESSA	Rodas aro 22"	MT	Março	Pessoa Jurídica	3921	83
RENATA	Rodas aro 13"	RN	Setembro	Pessoa Física	780	81
CAIO	Rodas aro 14"	RR	Abril	Pessoa Jurídica	980	78
PRISCILA	Rodas aro 15"	PE	Maio	Pessoa Física	1020	77
MIRIAN	Rodas aro 16"	PB	Janeiro	Pessoa Física	1340	75
MURILO	Rodas aro 17"	MS	Abril	Pessoa Física	1870	75
ROBERTO	Rodas aro 18"	MA	Outubro	Pessoa Jurídica	1910	72
MYSLAINE	Rodas aro 19"	MA	Julho	Pessoa Jurídica	2240	72
KATIA	Rodas aro 20"	SE	Outubro	Pessoa Jurídica	2479	71
VANESSA	Rodas aro 21"	RN	Abril	Pessoa Física	3200	66
RENATA	Rodas aro 22"	RJ	Março	Pessoa Jurídica	3921	66
CAIO	Rodas aro 13"	SE	Novembro	Pessoa Física	780	65
PRISCILA	Rodas aro 14"	AP	Janeiro	Pessoa Física	980	65
MIRIAN	Rodas aro 15"	PE	Outubro	Pessoa Física	1020	64
MURILO	Rodas aro 16"	ES	Maio	Pessoa Jurídica	1340	62
ROBERTO	Rodas aro 17"	SC	Setembro	Pessoa Jurídica	1870	62
MYSLAINE	Rodas aro 18"	PR	Dezembro	Pessoa Jurídica	1910	60
KATIA	Rodas aro 19"	GO	Dezembro	Pessoa Física	2240	59
VANESSA	Rodas aro 20"	MA	Agosto	Pessoa Jurídica	2479	56
RENATA	Rodas aro 21"	PI	Abril	Pessoa Física	3200	56
CAIO	Rodas aro 22"	MA	Março	Pessoa Física	3921	55
PRISCILA	Rodas aro 13"	RO	Fevereiro	Pessoa Física	780	49
MIRIAN	Rodas aro 14"	AM	Abril	Pessoa Jurídica	980	49
MURILO	Rodas aro 15"	PA	Abril	Pessoa Jurídica	1020	48
ROBERTO	Rodas aro 16"	SP	Abril	Pessoa Jurídica	1340	48
MYSLAINE	Rodas aro 17"	MT	Janeiro	Pessoa Física	1870	48
KATIA	Rodas aro 18"	ES	Setembro	Pessoa Jurídica	1910	46
VANESSA	Rodas aro 19"	RR	Novembro	Pessoa Física	2240	44
RENATA	Rodas aro 20"	RO	Maio	Pessoa Física	2479	44
CAIO	Rodas aro 21"	RS	Janeiro	Pessoa Física	3200	43
PRISCILA	Rodas aro 22"	PR	Julho	Pessoa Jurídica	3921	41
MIRIAN	Rodas aro 13"	BA	Agosto	Pessoa Jurídica	780	40
MURILO	Rodas aro 14"	TO	Abril	Pessoa Jurídica	980	38
ROBERTO	Rodas aro 15"	AM	Abril	Pessoa Física	1020	38
MYSLAINE	Rodas aro 16"	PA	Outubro	Pessoa Jurídica	1340	38
KATIA	Rodas aro 17"	GO	Janeiro	Pessoa Física	1870	35
VANESSA	Rodas aro 18"	AL	Setembro	Pessoa Física	1910	34
RENATA	Rodas aro 19"	ES	Janeiro	Pessoa Física	2240	33
CAIO	Rodas aro 20"	SC	Dezembro	Pessoa Jurídica	2479	32
PRISCILA	Rodas aro 21"	RO	Setembro	Pessoa Jurídica	3200	32
MIRIAN	Rodas aro 22"	MT	Dezembro	Pessoa Jurídica	3921	32
MURILO	Rodas aro 13"	CE	Julho	Pessoa Física	780	31
ROBERTO	Rodas aro 14"	AP	Dezembro	Pessoa Jurídica	980	30
MYSLAINE	Rodas aro 15"	PA	Janeiro	Pessoa Física	1020	30
KATIA	Rodas aro 16"	PI	Novembro	Pessoa Física	1340	30
VANESSA	Rodas aro 17"	DF	Dezembro	Pessoa Física	1870	26
RENATA	Rodas aro 18"	MT	Dezembro	Pessoa Jurídica	1910	25
CAIO	Rodas aro 19"	AC	Maio	Pessoa Jurídica	2240	25
PRISCILA	Rodas aro 20"	PA	Novembro	Pessoa Jurídica	2479	23
MIRIAN	Rodas aro 21"	MG	Novembro	Pessoa Física	3200	23
MURILO	Rodas aro 22"	PE	Outubro	Pessoa Jurídica	3921	21
ROBERTO	Rodas aro 13"	MA	Maio	Pessoa Física	780	20
MYSLAINE	Rodas aro 14"	AP	Novembro	Pessoa Física	980	20
KATIA	Rodas aro 15"	CE	Abril	Pessoa Física	1020	17
VANESSA	Rodas aro 16"	RO	Novembro	Pessoa Jurídica	1340	17
RENATA	Rodas aro 17"	RS	Fevereiro	Pessoa Jurídica	1870	17
CAIO	Rodas aro 18"	MG	Maio	Pessoa Jurídica	1910	14
PRISCILA	Rodas aro 19"	PB	Julho	Pessoa Física	2240	13
MIRIAN	Rodas aro 20"	PI	Julho	Pessoa Jurídica	2479	11
MURILO	Rodas aro 21"	MA	Março	Pessoa Física	3200	10
ROBERTO	Rodas aro 22"	AM	Janeiro	Pessoa Física	3921	9
MYSLAINE	Rodas aro 13"	RR	Setembro	Pessoa Física	780	8
KATIA	Rodas aro 14"	PA	Fevereiro	Pessoa Jurídica	980	8
VANESSA	Rodas aro 15"	AP	Setembro	Pessoa Jurídica	1020	7
RENATA	Rodas aro 16"	MS	Julho	Pessoa Jurídica	1340	6
CAIO	Rodas aro 17"	PA	Agosto	Pessoa Física	1870	3
PRISCILA	Rodas aro 18"	DF	Abril	Pessoa Jurídica	1910	3
MIRIAN	Rodas aro 19"	RJ	Agosto	Pessoa Física	2240	3
MURILO	Rodas aro 20"	AM	Maio	Pessoa Física	2479	110
ROBERTO	Rodas aro 21"	PR	Janeiro	Pessoa Física	3200	110
MYSLAINE	Rodas aro 22"	RN	Setembro	Pessoa Jurídica	3921	109
KATIA	Rodas aro 13"	RR	Novembro	Pessoa Jurídica	780	108
VANESSA	Rodas aro 14"	PI	Novembro	Pessoa Jurídica	980	107
RENATA	Rodas aro 15"	BA	Novembro	Pessoa Física	1020	105
CAIO	Rodas aro 16"	SC	Junho	Pessoa Jurídica	1340	104
PRISCILA	Rodas aro 17"	AL	Março	Pessoa Física	1870	104
MIRIAN	Rodas aro 18"	SC	Dezembro	Pessoa Física	1910	103
MURILO	Rodas aro 19"	AP	Fevereiro	Pessoa Física	2240	103
ROBERTO	Rodas aro 20"	CE	Julho	Pessoa Jurídica	2479	102
MYSLAINE	Rodas aro 21"	PI	Junho	Pessoa Jurídica	3200	100
KATIA	Rodas aro 22"	RO	Junho	Pessoa Jurídica	3921	99
VANESSA	Rodas aro 13"	SP	Março	Pessoa Física	780	98
RENATA	Rodas aro 14"	RJ	Dezembro	Pessoa Jurídica	980	98
CAIO	Rodas aro 15"	PB	Julho	Pessoa Física	1020	95
PRISCILA	Rodas aro 16"	AM	Abril	Pessoa Física	1340	94
MIRIAN	Rodas aro 17"	BA	Outubro	Pessoa Física	1870	93
MURILO	Rodas aro 18"	RS	Dezembro	Pessoa Jurídica	1910	93
ROBERTO	Rodas aro 19"	PA	Setembro	Pessoa Jurídica	2240	92
MYSLAINE	Rodas aro 20"	AM	Janeiro	Pessoa Jurídica	2479	92
KATIA	Rodas aro 21"	TO	Abril	Pessoa Física	3200	91
VANESSA	Rodas aro 22"	PR	Abril	Pessoa Jurídica	3921	91
RENATA	Rodas aro 13"	AM	Janeiro	Pessoa Física	780	91
CAIO	Rodas aro 14"	SP	Maio	Pessoa Física	980	91
PRISCILA	Rodas aro 15"	PE	Junho	Pessoa Física	1020	90
MIRIAN	Rodas aro 16"	MA	Maio	Pessoa Jurídica	1340	90
MURILO	Rodas aro 17"	RR	Janeiro	Pessoa Jurídica	1870	89
ROBERTO	Rodas aro 18"	AP	Outubro	Pessoa Jurídica	1910	89
MYSLAINE	Rodas aro 19"	MS	Julho	Pessoa Física	2240	88
KATIA	Rodas aro 20"	PE	Outubro	Pessoa Jurídica	2479	87
VANESSA	Rodas aro 21"	PE	Março	Pessoa Física	3200	87
RENATA	Rodas aro 22"	GO	Abril	Pessoa Física	3921	87
CAIO	Rodas aro 13"	SC	Abril	Pessoa Física	780	84
PRISCILA	Rodas aro 14"	MT	Abril	Pessoa Jurídica	980	79
MIRIAN	Rodas aro 15"	GO	Junho	Pessoa Jurídica	1020	76
MURILO	Rodas aro 16"	PA	Setembro	Pessoa Jurídica	1340	75
ROBERTO	Rodas aro 17"	RJ	Abril	Pessoa Física	1870	74
MYSLAINE	Rodas aro 18"	RN	Janeiro	Pessoa Jurídica	1910	72
KATIA	Rodas aro 19"	MG	Julho	Pessoa Física	2240	70
VANESSA	Rodas aro 20"	DF	Novembro	Pessoa Física	2479	70
RENATA	Rodas aro 21"	PI	Junho	Pessoa Física	3200	68
CAIO	Rodas aro 22"	SP	Outubro	Pessoa Jurídica	3921	65
PRISCILA	Rodas aro 13"	PA	Março	Pessoa Jurídica	780	64
MIRIAN	Rodas aro 14"	RR	Março	Pessoa Jurídica	980	61
MURILO	Rodas aro 15"	PA	Outubro	Pessoa Física	1020	60
ROBERTO	Rodas aro 16"	CE	Abril	Pessoa Jurídica	1340	56
MYSLAINE	Rodas aro 17"	SE	Maio	Pessoa Física	1870	53
KATIA	Rodas aro 18"	AM	Maio	Pessoa Física	1910	52
VANESSA	Rodas aro 19"	DF	Agosto	Pessoa Física	2240	51
RENATA	Rodas aro 20"	CE	Abril	Pessoa Jurídica	2479	50
CAIO	Rodas aro 21"	AL	Dezembro	Pessoa Jurídica	3200	48
PRISCILA	Rodas aro 22"	MG	Abril	Pessoa Jurídica	3921	48
MIRIAN	Rodas aro 13"	RR	Agosto	Pessoa Física	780	45
MURILO	Rodas aro 14"	RJ	Fevereiro	Pessoa Jurídica	980	44
ROBERTO	Rodas aro 15"	ES	Maio	Pessoa Física	1020	43
MYSLAINE	Rodas aro 16"	TO	Agosto	Pessoa Física	1340	42
KATIA	Rodas aro 17"	PE	Setembro	Pessoa Física	1870	40
VANESSA	Rodas aro 18"	AP	Dezembro	Pessoa Jurídica	1910	39
RENATA	Rodas aro 19"	GO	Abril	Pessoa Jurídica	2240	39
CAIO	Rodas aro 20"	PB	Novembro	Pessoa Jurídica	2479	39
PRISCILA	Rodas aro 21"	MG	Janeiro	Pessoa Física	3200	37
MIRIAN	Rodas aro 22"	RO	Junho	Pessoa Jurídica	3921	36
MURILO	Rodas aro 13"	PI	Janeiro	Pessoa Física	780	36
ROBERTO	Rodas aro 14"	CE	Janeiro	Pessoa Física	980	35
MYSLAINE	Rodas aro 15"	AL	Fevereiro	Pessoa Física	1020	33
KATIA	Rodas aro 16"	CE	Agosto	Pessoa Jurídica	1340	32
VANESSA	Rodas aro 17"	ES	Junho	Pessoa Jurídica	1870	32
RENATA	Rodas aro 18"	TO	Fevereiro	Pessoa Jurídica	1910	30
CAIO	Rodas aro 19"	AC	Junho	Pessoa Física	2240	30
PRISCILA	Rodas aro 20"	PE	Dezembro	Pessoa Jurídica	2479	29
MIRIAN	Rodas aro 21"	AP	Fevereiro	Pessoa Física	3200	28
MURILO	Rodas aro 22"	ES	Julho	Pessoa Física	3921	27
ROBERTO	Rodas aro 13"	AP	Junho	Pessoa Física	780	26
MYSLAINE	Rodas aro 14"	PA	Julho	Pessoa Jurídica	980	25
KATIA	Rodas aro 15"	AC	Setembro	Pessoa Jurídica	1020	24
VANESSA	Rodas aro 16"	SE	Agosto	Pessoa Jurídica	1340	22
RENATA	Rodas aro 17"	SE	Maio	Pessoa Física	1870	20
CAIO	Rodas aro 18"	RR	Janeiro	Pessoa Jurídica	1910	16
PRISCILA	Rodas aro 19"	AC	Fevereiro	Pessoa Física	2240	15
MIRIAN	Rodas aro 20"	PA	Fevereiro	Pessoa Física	2479	13
MURILO	Rodas aro 21"	AP	Agosto	Pessoa Física	3200	13
ROBERTO	Rodas aro 22"	AC	Junho	Pessoa Jurídica	3921	6
MYSLAINE	Rodas aro 13"	RS	Novembro	Pessoa Jurídica	780	2
KATIA	Rodas aro 14"	RJ	Setembro	Pessoa Jurídica	980	1
VANESSA	Rodas aro 15"	RN	Setembro	Pessoa Física	1020	1
RENATA	Rodas aro 16"	ES	Maio	Pessoa Jurídica	1340	110
CAIO	Rodas aro 17"	RN	Abril	Pessoa Física	1870	109
PRISCILA	Rodas aro 18"	AC	Abril	Pessoa Física	1910	102
MIRIAN	Rodas aro 19"	RJ	Junho	Pessoa Física	2240	102
MURILO	Rodas aro 20"	MS	Agosto	Pessoa Jurídica	2479	102
ROBERTO	Rodas aro 21"	RJ	Julho	Pessoa Jurídica	3200	99
MYSLAINE	Rodas aro 22"	MA	Julho	Pessoa Jurídica	3921	99
KATIA	Rodas aro 13"	DF	Fevereiro	Pessoa Física	780	99
VANESSA	Rodas aro 14"	PE	Julho	Pessoa Jurídica	980	98
RENATA	Rodas aro 15"	PE	Julho	Pessoa Física	1020	98
CAIO	Rodas aro 16"	PE	Novembro	Pessoa Física	1340	98
PRISCILA	Rodas aro 17"	PB	Junho	Pessoa Física	1870	97
MIRIAN	Rodas aro 18"	MA	Agosto	Pessoa Jurídica	1910	96
MURILO	Rodas aro 19"	SE	Agosto	Pessoa Jurídica	2240	96
ROBERTO	Rodas aro 20"	CE	Junho	Pessoa Jurídica	2479	96
MYSLAINE	Rodas aro 21"	AL	Março	Pessoa Física	3200	95
KATIA	Rodas aro 22"	MS	Maio	Pessoa Jurídica	3921	95
VANESSA	Rodas aro 13"	AM	Junho	Pessoa Física	780	93
RENATA	Rodas aro 14"	PE	Maio	Pessoa Física	980	93
CAIO	Rodas aro 15"	RO	Outubro	Pessoa Física	1020	91
PRISCILA	Rodas aro 16"	RS	Agosto	Pessoa Jurídica	1340	89
MIRIAN	Rodas aro 17"	DF	Agosto	Pessoa Jurídica	1870	88
MURILO	Rodas aro 18"	MG	Setembro	Pessoa Jurídica	1910	86
ROBERTO	Rodas aro 19"	GO	Dezembro	Pessoa Física	2240	86
MYSLAINE	Rodas aro 20"	ES	Outubro	Pessoa Jurídica	2479	85
KATIA	Rodas aro 21"	PR	Abril	Pessoa Física	3200	79
VANESSA	Rodas aro 22"	MG	Novembro	Pessoa Física	3921	78
RENATA	Rodas aro 13"	PR	Fevereiro	Pessoa Física	780	77
CAIO	Rodas aro 14"	BA	Julho	Pessoa Jurídica	980	77
PRISCILA	Rodas aro 15"	RN	Abril	Pessoa Jurídica	1020	76
MIRIAN	Rodas aro 16"	SP	Fevereiro	Pessoa Jurídica	1340	74
MURILO	Rodas aro 17"	BA	Março	Pessoa Física	1870	73
ROBERTO	Rodas aro 18"	GO	Novembro	Pessoa Jurídica	1910	73
MYSLAINE	Rodas aro 19"	SC	Junho	Pessoa Física	2240	73
KATIA	Rodas aro 20"	CE	Maio	Pessoa Física	2479	73
VANESSA	Rodas aro 21"	SC	Setembro	Pessoa Física	3200	72
RENATA	Rodas aro 22"	PE	Maio	Pessoa Jurídica	3921	71
CAIO	Rodas aro 13"	AL	Dezembro	Pessoa Jurídica	780	70
PRISCILA	Rodas aro 14"	PR	Abril	Pessoa Jurídica	980	69
MIRIAN	Rodas aro 15"	ES	Julho	Pessoa Física	1020	68
MURILO	Rodas aro 16"	RN	Julho	Pessoa Jurídica	1340	68
ROBERTO	Rodas aro 17"	SC	Julho	Pessoa Física	1870	66
MYSLAINE	Rodas aro 18"	AM	Dezembro	Pessoa Física	1910	64
KATIA	Rodas aro 19"	AM	Março	Pessoa Física	2240	63
VANESSA	Rodas aro 20"	MA	Junho	Pessoa Jurídica	2479	62
RENATA	Rodas aro 21"	AC	Agosto	Pessoa Jurídica	3200	62
CAIO	Rodas aro 22"	PR	Novembro	Pessoa Jurídica	3921	61
PRISCILA	Rodas aro 13"	PR	Novembro	Pessoa Física	780	60
MIRIAN	Rodas aro 14"	RN	Junho	Pessoa Jurídica	980	59
MURILO	Rodas aro 15"	RJ	Maio	Pessoa Física	1020	59
ROBERTO	Rodas aro 16"	DF	Fevereiro	Pessoa Física	1340	59
MYSLAINE	Rodas aro 17"	PB	Setembro	Pessoa Física	1870	58
KATIA	Rodas aro 18"	GO	Janeiro	Pessoa Jurídica	1910	58
VANESSA	Rodas aro 19"	SE	Setembro	Pessoa Jurídica	2240	58
RENATA	Rodas aro 20"	TO	Janeiro	Pessoa Jurídica	2479	57
CAIO	Rodas aro 21"	RN	Setembro	Pessoa Física	3200	57
PRISCILA	Rodas aro 22"	ES	Agosto	Pessoa Jurídica	3921	56
MIRIAN	Rodas aro 13"	RR	Julho	Pessoa Física	780	56
MURILO	Rodas aro 14"	SC	Dezembro	Pessoa Física	980	56
ROBERTO	Rodas aro 15"	RS	Agosto	Pessoa Física	1020	56
MYSLAINE	Rodas aro 16"	TO	Junho	Pessoa Jurídica	1340	55
KATIA	Rodas aro 17"	CE	Agosto	Pessoa Jurídica	1870	54
VANESSA	Rodas aro 18"	GO	Fevereiro	Pessoa Jurídica	1910	50
RENATA	Rodas aro 19"	SP	Novembro	Pessoa Física	2240	49
CAIO	Rodas aro 20"	PB	Setembro	Pessoa Jurídica	2479	49
PRISCILA	Rodas aro 21"	PB	Julho	Pessoa Física	3200	48
MIRIAN	Rodas aro 22"	PA	Setembro	Pessoa Física	3921	47
MURILO	Rodas aro 13"	SC	Julho	Pessoa Física	780	47
ROBERTO	Rodas aro 14"	SP	Julho	Pessoa Jurídica	980	46
MYSLAINE	Rodas aro 15"	RO	Abril	Pessoa Jurídica	1020	46
KATIA	Rodas aro 16"	PE	Janeiro	Pessoa Jurídica	1340	45
VANESSA	Rodas aro 17"	SE	Julho	Pessoa Física	1870	43
RENATA	Rodas aro 18"	RS	Outubro	Pessoa Jurídica	1910	42
CAIO	Rodas aro 19"	PB	Junho	Pessoa Física	2240	41
PRISCILA	Rodas aro 20"	PI	Novembro	Pessoa Física	2479	39
MIRIAN	Rodas aro 21"	ES	Outubro	Pessoa Física	3200	38
MURILO	Rodas aro 22"	ES	Maio	Pessoa Jurídica	3921	37
ROBERTO	Rodas aro 13"	PR	Outubro	Pessoa Jurídica	780	33
MYSLAINE	Rodas aro 14"	PB	Abril	Pessoa Jurídica	980	32
KATIA	Rodas aro 15"	PI	Julho	Pessoa Física	1020	32
VANESSA	Rodas aro 16"	AC	Outubro	Pessoa Jurídica	1340	27
RENATA	Rodas aro 17"	MA	Janeiro	Pessoa Física	1870	25
CAIO	Rodas aro 18"	MS	Novembro	Pessoa Física	1910	24
PRISCILA	Rodas aro 19"	PE	Julho	Pessoa Física	2240	23
MIRIAN	Rodas aro 20"	MT	Julho	Pessoa Jurídica	2479	22
MURILO	Rodas aro 21"	CE	Agosto	Pessoa Jurídica	3200	22
ROBERTO	Rodas aro 22"	PE	Fevereiro	Pessoa Jurídica	3921	21
MYSLAINE	Rodas aro 13"	PB	Fevereiro	Pessoa Física	780	17
KATIA	Rodas aro 14"	PI	Fevereiro	Pessoa Jurídica	980	16
VANESSA	Rodas aro 15"	MA	Outubro	Pessoa Física	1020	16
RENATA	Rodas aro 16"	RS	Março	Pessoa Física	1340	15
CAIO	Rodas aro 17"	RJ	Dezembro	Pessoa Física	1870	14
PRISCILA	Rodas aro 18"	RS	Março	Pessoa Jurídica	1910	13
MIRIAN	Rodas aro 19"	AM	Dezembro	Pessoa Jurídica	2240	13
MURILO	Rodas aro 20"	AP	Novembro	Pessoa Jurídica	2479	13
ROBERTO	Rodas aro 21"	SP	Abril	Pessoa Física	3200	10
MYSLAINE	Rodas aro 22"	SE	Abril	Pessoa Jurídica	3921	6
KATIA	Rodas aro 13"	AL	Janeiro	Pessoa Física	780	3
VANESSA	Rodas aro 14"	PR	Junho	Pessoa Física	980	2
RENATA	Rodas aro 15"	AM	Agosto	Pessoa Física	1020	1
CAIO	Rodas aro 16"	AM	Novembro	Pessoa Jurídica	1340	110
PRISCILA	Rodas aro 17"	TO	Julho	Pessoa Jurídica	1870	109
MIRIAN	Rodas aro 18"	GO	Junho	Pessoa Jurídica	1910	108
MURILO	Rodas aro 19"	AC	Agosto	Pessoa Física	2240	108
ROBERTO	Rodas aro 20"	RN	Abril	Pessoa Jurídica	2479	105
MYSLAINE	Rodas aro 21"	RN	Dezembro	Pessoa Física	3200	105
KATIA	Rodas aro 22"	TO	Dezembro	Pessoa Física	3921	105
VANESSA	Rodas aro 13"	PB	Dezembro	Pessoa Física	780	104
RENATA	Rodas aro 14"	ES	Dezembro	Pessoa Jurídica	980	103
CAIO	Rodas aro 15"	RN	Agosto	Pessoa Jurídica	1020	102
PRISCILA	Rodas aro 16"	TO	Janeiro	Pessoa Jurídica	1340	102
MIRIAN	Rodas aro 17"	RJ	Abril	Pessoa Física	1870	100
MURILO	Rodas aro 18"	SP	Junho	Pessoa Jurídica	1910	98
ROBERTO	Rodas aro 19"	AL	Abril	Pessoa Física	2240	96
MYSLAINE	Rodas aro 20"	GO	Fevereiro	Pessoa Física	2479	90
KATIA	Rodas aro 21"	PA	Julho	Pessoa Física	3200	86
VANESSA	Rodas aro 22"	GO	Julho	Pessoa Jurídica	3921	86
RENATA	Rodas aro 13"	PA	Setembro	Pessoa Jurídica	780	85
CAIO	Rodas aro 14"	PR	Abril	Pessoa Jurídica	980	84
PRISCILA	Rodas aro 15"	ES	Setembro	Pessoa Física	1020	82
MIRIAN	Rodas aro 16"	RO	Janeiro	Pessoa Jurídica	1340	81
MURILO	Rodas aro 17"	AM	Janeiro	Pessoa Física	1870	79
ROBERTO	Rodas aro 18"	SC	Junho	Pessoa Física	1910	78
MYSLAINE	Rodas aro 19"	SE	Abril	Pessoa Física	2240	78
KATIA	Rodas aro 20"	PE	Setembro	Pessoa Jurídica	2479	77
VANESSA	Rodas aro 21"	AC	Fevereiro	Pessoa Jurídica	3200	75
RENATA	Rodas aro 22"	CE	Dezembro	Pessoa Jurídica	3921	74
CAIO	Rodas aro 13"	BA	Maio	Pessoa Física	780	72
PRISCILA	Rodas aro 14"	AC	Junho	Pessoa Jurídica	980	70
MIRIAN	Rodas aro 15"	BA	Maio	Pessoa Física	1020	70
MURILO	Rodas aro 16"	PE	Dezembro	Pessoa Física	1340	70
ROBERTO	Rodas aro 17"	ES	Dezembro	Pessoa Física	1870	69
MYSLAINE	Rodas aro 18"	PI	Fevereiro	Pessoa Jurídica	1910	68
KATIA	Rodas aro 19"	CE	Março	Pessoa Jurídica	2240	67
VANESSA	Rodas aro 20"	SP	Outubro	Pessoa Jurídica	2479	66
RENATA	Rodas aro 21"	RJ	Março	Pessoa Física	3200	65
CAIO	Rodas aro 22"	AC	Janeiro	Pessoa Jurídica	3921	65
PRISCILA	Rodas aro 13"	RJ	Maio	Pessoa Física	780	63
MIRIAN	Rodas aro 14"	MS	Fevereiro	Pessoa Física	980	61
MURILO	Rodas aro 15"	ES	Setembro	Pessoa Física	1020	60
ROBERTO	Rodas aro 16"	PI	Junho	Pessoa Jurídica	1340	60
MYSLAINE	Rodas aro 17"	SC	Abril	Pessoa Jurídica	1870	59
KATIA	Rodas aro 18"	CE	Abril	Pessoa Jurídica	1910	56
VANESSA	Rodas aro 19"	MG	Agosto	Pessoa Física	2240	55
RENATA	Rodas aro 20"	MG	Março	Pessoa Jurídica	2479	54
CAIO	Rodas aro 21"	RR	Dezembro	Pessoa Física	3200	52
PRISCILA	Rodas aro 22"	DF	Fevereiro	Pessoa Física	3921	52
MIRIAN	Rodas aro 13"	MS	Março	Pessoa Física	780	52
MURILO	Rodas aro 14"	DF	Agosto	Pessoa Jurídica	980	49
ROBERTO	Rodas aro 15"	PB	Agosto	Pessoa Jurídica	1020	44
MYSLAINE	Rodas aro 16"	AM	Maio	Pessoa Jurídica	1340	42
KATIA	Rodas aro 17"	AP	Junho	Pessoa Física	1870	41
VANESSA	Rodas aro 18"	BA	Julho	Pessoa Jurídica	1910	40
RENATA	Rodas aro 19"	SE	Agosto	Pessoa Física	2240	37
CAIO	Rodas aro 20"	PR	Setembro	Pessoa Física	2479	36
PRISCILA	Rodas aro 21"	PR	Julho	Pessoa Física	3200	35
MIRIAN	Rodas aro 22"	PB	Maio	Pessoa Jurídica	3921	34
MURILO	Rodas aro 13"	PR	Outubro	Pessoa Jurídica	780	33
ROBERTO	Rodas aro 14"	PI	Junho	Pessoa Jurídica	980	32
MYSLAINE	Rodas aro 15"	MT	Fevereiro	Pessoa Física	1020	32
KATIA	Rodas aro 16"	RO	Novembro	Pessoa Jurídica	1340	32
VANESSA	Rodas aro 17"	RN	Abril	Pessoa Física	1870	29
RENATA	Rodas aro 18"	AM	Outubro	Pessoa Física	1910	27
CAIO	Rodas aro 19"	MG	Fevereiro	Pessoa Física	2240	27
PRISCILA	Rodas aro 20"	PB	Setembro	Pessoa Jurídica	2479	26
MIRIAN	Rodas aro 21"	PR	Fevereiro	Pessoa Jurídica	3200	25
MURILO	Rodas aro 22"	BA	Novembro	Pessoa Jurídica	3921	24
ROBERTO	Rodas aro 13"	DF	Novembro	Pessoa Física	780	23
MYSLAINE	Rodas aro 14"	RS	Setembro	Pessoa Jurídica	980	22
KATIA	Rodas aro 15"	PE	Março	Pessoa Física	1020	22
VANESSA	Rodas aro 16"	CE	Dezembro	Pessoa Física	1340	21
RENATA	Rodas aro 17"	CE	Agosto	Pessoa Física	1870	20
CAIO	Rodas aro 18"	RN	Fevereiro	Pessoa Jurídica	1910	20
PRISCILA	Rodas aro 19"	MA	Outubro	Pessoa Jurídica	2240	19
